name,of,at,in,title,tags,body,see
Necessities failure,CA00,44,P3'D6,Failure of persons to provide necessities of life,offence,"(1)  A person:
(a)  who is under a legal duty to provide another person with the necessities of life, and
(b)  who, without reasonable excuse, intentionally or recklessly fails to provide that person with the necessities of life,
is guilty of an offence if the failure causes a danger of death or causes serious injury, or the likelihood of serious injury, to that person.

Maximum penalty: Imprisonment for 5 years.
(2)  A person cannot be found guilty of both an offence against section 43A and an offence against this section in respect of the same act or omission.",
Financial advantage,CA00,192D,P4AA'D1,Obtaining financial advantage or causing financial disadvantage,def,"(1)  In this Part, obtain a financial advantage includes:
(a)  obtain a financial advantage for oneself or for another person, and
(b)  induce a third person to do something that results in oneself or another person obtaining a financial advantage, and
(c)  keep a financial advantage that one has, whether the financial advantage is permanent or temporary.
(2)  In this Part, cause a financial disadvantage means:
(a)  cause a financial disadvantage to another person, or
(b)  induce a third person to do something that results in another person suffering a financial disadvantage,
whether the financial disadvantage is permanent or temporary.",
False document,CA00,250,P5'D1,False document—meaning,def,"(1)  For the purposes of this Part, a document is false if, and only if, the document (or any part of the document) purports:
(a)  to have been made in the form in which it is made by a person who did not in fact make it in that form, or
(b)  to have been made in the form in which it is made on the authority of a person who did not in fact authorise its making in that form, or
(c)  to have been made in the terms in which it is made by a person who did not in fact make it in those terms, or
(d)  to have been made in the terms in which it is made on the authority of a person who did not in fact authorise its making in those terms, or
(e)  to have been altered in any respect by a person who did not in fact alter it in that respect, or
(f)  to have been altered in any respect on the authority of a person who did not in fact authorise its alteration in that respect, or
(g)  to have been made or altered on a date on which, or at a place at which, or otherwise in circumstances in which, it was not in fact made or altered, or
(h)  to have been made or altered by, or on the authority of, a person who did not in fact exist.
(2)  For the purposes of this Part, a person is to be treated as making a false document if the person alters a document so as to make it false within the meaning of this section (whether or not it is false in some other respect apart from that alteration).
(3)  For the purpose of the application of this section, a document that purports to be a true copy of another document is to be treated as if it were the original document.",
Make false document,CA00,253,P5'D2,Forgery—making false document,offence,"A person who makes a false document with the intention that the person or another will use it:
(a)  to induce some person to accept it as genuine, and
(b)  because of its being accepted as genuine:
(i)  to obtain any property belonging to another, or
(ii)  to obtain any financial advantage or cause any financial disadvantage, or
(iii)  to influence the exercise of a public duty,
is guilty of the offence of forgery.",False document
Use false document,CA00,254,P5'D3,Using false document,offence,"A person who uses a false document, knowing that it is false, with the intention of:
(a)  inducing some person to accept it as genuine, and
(b)  because of its being accepted as genuine:
(i)  obtaining any property belonging to another, or
(ii)  obtaining any financial advantage or causing any financial disadvantage, or
(iii)  influencing the exercise of a public duty,

is guilty of an offence.",False document
False accusation,CA00,314,P7'D2,False accusations etc,offence,"A person who makes an accusation intending a person to be the subject of an investigation of an offence, knowing that other person to be innocent of the offence, is liable to imprisonment for 7 years.",
Judicial misleading,CA00,317,P7'D2,Tampering etc with evidence,offence,"A person who, with intent to mislead any judicial tribunal in any judicial proceeding:
(a)  suppresses, conceals, destroys, alters or falsifies anything knowing that it is or may be required as evidence in any judicial proceeding, or
(b)  fabricates false evidence (other than by perjury or suborning perjury), or
(c)  knowingly makes use of fabricated false evidence,
is liable to imprisonment for 10 years.",
Pervert justice,CA00,319,P7'D2,General offence of perverting the course of justice,offence,"A person who does any act, or makes any omission, intending in any way to pervert the course of justice, is liable to",
Perjury,CA00,327,P7'D4,Offence of perjury,offence,"(1)  Any person who in or in connection with any judicial proceeding makes any false statement on oath concerning any matter which is material to the proceeding, knowing the statement to be false or not believing it to be true, is guilty of perjury and liable to imprisonment for 10 years.
(2)  A statement can be considered to have been made in connection with a judicial proceeding whether or not a judicial proceeding has commenced, or ever commences, in connection with it.
(3)  The determination of whether a statement is material to a judicial proceeding that has not commenced is to be made on the basis of any judicial proceeding likely to arise in connection with the statement.

(4)  The question of whether any matter is material to a proceeding is a question of law.",
False testimony,CA00,335,P7'D4,False statements in evidence on commission,offence,"If a person, in giving any testimony (either orally or in writing) otherwise than on oath, when required to do so by an order under section 33 (Power of the Supreme Court to give effect to application for assistance) of the Evidence on Commission Act 1995, makes any statement that is false in a material particular, knowing the statement to be false or not believing it to be true, is liable to imprisonment for 5 years.",
Self defence,CA00,418,P11'D3,Self-defence—when available,offence,"(1)  A person is not criminally responsible for an offence if the person carries out the conduct constituting the offence in self-defence.
(2)  A person carries out conduct in self-defence if and only if the person believes the conduct is necessary:
(a)  to defend himself or herself or another person, or
(b)  to prevent or terminate the unlawful deprivation of his or her liberty or the liberty of another person, or
(c)  to protect property from unlawful taking, destruction, damage or interference, or
(d)  to prevent criminal trespass to any land or premises or to remove a person committing any such criminal trespass,

and the conduct is a reasonable response in the circumstances as he or she perceives them",
Lawful self-defence,CA00,422,P11'D3,Self-defence—response to lawful conduct,offence,"This Division is not excluded merely because:
(a)  the conduct to which the person responds is lawful, or
(b)  the other person carrying out the conduct to which the person responds is not criminally responsible for it.",
Criminal defamation,CA00,529,P14A'D2,Criminal defamation,offence,"(1) Common law misdemeanour of criminal libel abolished The common law misdemeanour of criminal libel remains abolished.
(2) Blasphemous, seditious or obscene libel not affected Subsection (1) does not affect the law relating to blasphemous, seditious or obscene libel.
(3) Offence of criminal defamation A person who, without lawful excuse, publishes matter defamatory of another living person (the victim):
(a)  knowing the matter to be false, and
(b)  with intent to cause serious harm to the victim or any other person or being reckless as to whether such harm is caused,
is guilty of an offence.
Maximum penalty: 3 years imprisonment.
(4) Lawful excuse A defendant in proceedings for an offence under this section has a lawful excuse for the publication of defamatory matter about the victim if, and only if, the defendant would, having regard only to the circumstances happening before or at the time of the publication, have had a defence for the publication if the victim had brought civil proceedings for defamation against the defendant.
(5) Prosecution to negative lawful excuse The prosecution bears the onus of negativing the existence of a lawful excuse if, and only if, evidence directed to establishing the excuse is first adduced by or on behalf of the defendant.
(6) Functions of jury On a trial before a jury for an offence under this section:
(a)  the question of whether the matter complained of is capable of bearing a defamatory meaning is a question for determination by the judicial officer presiding, and
(b)  the question of whether the matter complained of does bear a defamatory meaning is a question for the jury, and
(c)  the jury may give a general verdict of guilty or not guilty on the issues as a whole.
(7) DPP to consent to proceedings Proceedings in a court for an offence under this section cannot be instituted without the written consent of the Director of Public Prosecutions.
(8) Evidence of consent of DPP In those proceedings, a consent purporting to have been signed by the Director of Public Prosecutions is, without proof of the signature, evidence of that consent.
(9) Proceedings for an offence do not bar civil proceedings The commencement of criminal proceedings for an offence under this section does not prevent:
(a)  the commencement of civil proceedings for defamation against the defendant in the criminal proceedings, or
(b)  the determination of the civil proceedings pending the determination of the criminal proceedings.
(10) Proof of convictions for offences If the question whether or not a person committed an offence (other than offence under this section) arises in proceedings for an offence under this section, section 42 of the Defamation Act 2005 applies to the proof of the commission of that offence in the same way as it applies to such proof in civil proceedings for defamation.
(11) Interpretation In this section, publish and defamatory have the meanings that they have in the law of tort (as modified by the Defamation Act 2005) relating to defamation.
",
Intimidation annoyance ,CA00,545B,P14A'D2,Intimidation or annoyance by violence or otherwise,offence,"(1)  Whosoever:
(a)  with a view to compel any other person to abstain from doing or to do any act which such other person has a legal right to do or abstain from doing, or
(b)  in consequence of such other person having done any act which he had a legal right to do, or of his having abstained from doing any act which he had a legal right to abstain from doing,
wrongfully and without legal authority:
(i)  uses violence or intimidation to or toward such other person or his wife, child, or dependant, or does any injury to him or to his wife, child, or dependant, or
(ii)  follows such other person about from place to place, or
(iii)  hides any tools, clothes, or other property owned or used by such other person, or deprives him of or hinders him in the use thereof, or
(iv)    (Repealed)
(v)  follows such other person with two or more other persons in a disorderly manner in or through any street, road, or public place,
is liable, on conviction before the Local Court, to imprisonment for 2 years, or to a fine of 50 penalty units, or both.
(2)  In this section:
Intimidation means the causing of a reasonable apprehension of injury to a person or to any member of his family or to any of his dependants, or of violence or damage to any person or property, and intimidate has a corresponding meaning.
Injury includes any injury to a person in respect of his property, business, occupation, employment, or other source of income, and also includes any actionable wrong of any nature.",
