name,of,at,in,title,tags,body,see
96BL 1 Noise,BL96,1,S2,Noise,"reg,def,oc",An owner or occupier of a lot must not create any noise on the parcel likely to interfere with the peaceful enjoyment of the owner or occupier of another lot or of any person lawfully using common property.,
96BL 3 CP obstruct,BL96,3,S2,Obstruction of common property,"reg,def,oc",An owner or occupier of a lot must not obstruct lawful use of common property by any person.,
96BL 5 CP damage,BL96,5,S2,Damage to common property,"reg,def,oc","    (1)  An owner or occupier of a lot must not mark, paint, drive nails or screws or the like into, or otherwise damage or deface, any structure that forms part of the common property without the approval in writing of the owners corporation.
    Note.
     This by-law is subject to sections 109 and 110 of the Strata Schemes Management Act 2015.

    (2)  An approval given by the owners corporation under clause (1) cannot authorise any additions to the common property.

    (3)  This by-law does not prevent an owner or person authorised by an owner from installing:

        (a)  any locking or other safety device for protection of the owner’s lot against intruders, or

        (b)  any screen or other device to prevent entry of animals or insects on the lot, or

        (c)  any structure or device to prevent harm to children.

    (4)  Any such locking or safety device, screen, other device or structure must be installed in a competent and proper manner and must have an appearance, after it has been installed, in keeping with the appearance of the rest of the building.

    (5)  Despite section 106 of the Strata Schemes Management Act 2015, the owner of a lot must maintain and keep in a state of good and serviceable repair any installation or structure referred to in clause (3) that forms part of the common property and that services the lot.",
96BL 6 Behavior,BL96,6,S2,Behaviour of owners and occupiers,"reg,def,oc",An owner or occupier of a lot when on common property must be adequately clothed and must not use language or behave in a manner likely to cause offence or embarrassment to the owner or occupier of another lot or to any person lawfully using common property.,
96BL 9 Rubbish,BL96,9,S2,Depositing rubbish and other material on common property,"reg,def,oc","An owner or occupier of a lot must not deposit or throw on the common property any rubbish, dirt, dust or other material likely to interfere with the peaceful enjoyment of the owner or occupier of another lot or of any person lawfully using the common property.",
96BL 14 Floor cover,BL96,14,S2,Floor coverings,"reg,def,oc","    (1)  An owner of a lot must ensure that all floor space within the lot is covered or otherwise treated to an extent sufficient to prevent the transmission from the floor space of noise likely to disturb the peaceful enjoyment of the owner or occupier of another lot.

    (2)  This by-law does not apply to floor space comprising a kitchen, laundry, lavatory or bathroom.Knows
",
96BL 15 Garbage,BL96,15,S2,Garbage disposal,"reg,def,oc","An owner or occupier of a lot:

    (a)  must maintain within the lot, or on such part of the common property as may be authorised by the owners corporation, in clean and dry condition and adequately covered a receptacle for garbage, and

    (b)  must ensure that before refuse is placed in the receptacle it is securely wrapped or, in the case of tins or other containers, completely drained, and

    (c)  for the purpose of having the garbage collected, must place the receptacle within an area designated for that purpose by the owners corporation and at a time not more than 12 hours before the time at which garbage is normally collected, and

    (d)  when the garbage has been collected, must promptly return the receptacle to the lot or other area referred to in paragraph (a), and

    (e)  must not place any thing in the receptacle of the owner or occupier of any other lot except with the permission of that owner or occupier, and

    (f)  must promptly remove any thing which the owner, occupier or garbage collector may have spilled from the receptacle and must take such action as may be necessary to clean the area within which that thing was spilled.",
96BL 17 Appear,BL96,17,S2,Keep within appearance of building,"reg,def,oc","    (1)  The owner or occupier of a lot must not, without the written consent of the owners corporation, maintain within the lot anything visible from outside the lot that, viewed from outside the lot, is not in keeping with the rest of the building.

    (2)  This by-law does not apply to the hanging of any washing, towel, bedding, clothing or other article as referred to in by-law 10.",
96BL 18 Noticeboard,BL96,18,S2,Notice board,"reg,def,oc",An owners corporation must cause a notice board to be affixed to some part of the common property.,
Necessities failure,CA00,44,P3'D6,Failure of persons to provide necessities of life,offence,"(1)  A person:
(a)  who is under a legal duty to provide another person with the necessities of life, and
(b)  who, without reasonable excuse, intentionally or recklessly fails to provide that person with the necessities of life,
is guilty of an offence if the failure causes a danger of death or causes serious injury, or the likelihood of serious injury, to that person.

Maximum penalty: Imprisonment for 5 years.
(2)  A person cannot be found guilty of both an offence against section 43A and an offence against this section in respect of the same act or omission.",
